"day","Mean_Temp","lvsg","rootsg","stemg","lvsd","rootd","stemd","AGB","TOTB"
168,18.39,9.647845642861,5.78870738571659,3.8591382571444,1.01102027210495,0.606612163262971,0.404408108841981,14.9224122809523,21.3177318299319
169,18.58,9.65462269161032,5.79277361496619,3.86184907664413,1.21362503060503,0.72817501836302,0.485450012242013,15.2155468111015,21.7364954444307
170,18.75,9.66144627180179,5.79686776308107,3.86457850872071,1.41637210712885,0.84982326427731,0.56654884285154,15.5089457305029,22.1556367578613
171,18.92,9.66828442678849,5.80097065607309,3.86731377071539,1.61926247883669,0.971557487302012,0.647704991534675,15.8025656678752,22.5750938112503
172,19.08,9.47213840560597,5.68328304336358,3.78885536224239,2.0253304247618,1.21519825485708,0.810132169904721,16.0964563625149,22.9949376607355
173,19.28,9.30333750194857,5.58200250116914,3.72133500077942,2.42316023779725,1.45389614267835,0.969264095118902,16.4170968356441,23.4529954794916
174,19.42,9.15850824619018,5.4951049477141,3.66340329847607,2.81390041287909,1.68834024772746,1.12556016515164,16.761372122697,23.9448173181385
175,19.58,9.03423518257999,5.42054110954799,3.61369407303199,3.19855775921908,1.91913465553145,1.27942310368763,17.1259101185187,24.4655858835981
176,19.75,8.92761154131037,5.35656692478622,3.57104461652415,3.57799563688744,2.14679738213246,1.43119825475498,17.5078500494769,25.0112143563956
177,19.92,8.83592765900766,5.30155659540459,3.53437106360306,3.95295532162248,2.37177319297348,1.58118212864899,17.9044361728822,25.5777659612603
178,20.08,8.75740410610566,5.25444246366339,3.50296164244226,4.3240642833008,2.59443856998048,1.72962571332032,18.314055745169,26.1629367788129
179,20.19,8.69044751342075,5.21426850805245,3.4761790053683,4.69187525575724,2.81512515345434,1.87675010230289,18.7352518768492,26.764645538356
180,20.36,8.63292735642551,5.1797564138553,3.4531709425702,5.05687405132091,3.03412443079254,2.02274962052836,19.165721970845,27.3796028154928
181,20.47,8.58183540746179,5.14910124447707,3.43273416298471,5.41945700029078,3.25167420017447,2.16778280011631,19.6018093708536,28.0025848155051
182,20.64,8.53799157435856,5.12279494461513,3.41519662974342,5.77989408740417,3.4679364524425,2.31195763496167,20.0450399264678,28.6357713235255
183,20.75,8.5006573464684,5.10039440788104,3.40026293858736,6.13848973352723,3.68309384011634,2.45539589341089,20.4948059119939,29.2782941599913
184,20.86,8.46922551557728,5.08153530934637,3.38769020623091,6.49551734207891,3.89731040524734,2.59820693683156,20.9506400007187,29.9294857153124
185,20.97,8.44262914643679,5.06557748786207,3.37705165857471,6.85122481373315,4.11073488823989,2.74048992549326,21.4113955442379,30.5877079203399
186,21.08,8.42022014879637,5.05213208927782,3.36808805951855,7.2058152378835,4.3234891427301,2.8823260951534,21.8764495413518,31.2520707733597
187,21.19,8.40143651909709,5.04086191145825,3.36057460763884,7.55946448413294,4.53567869047976,3.02378579365318,22.3452614045221,31.9218020064601
188,21.31,8.38575785952724,5.03145471571634,3.3543031438109,7.91232481793502,4.74739489076101,3.16492992717401,22.8173157484472,32.5961653549245
189,21.39,8.37291422443258,5.02374853465954,3.34916568977303,8.26452664803517,4.9587159888211,3.30581065921407,23.2924172214548,33.2748817449355
190,21.47,8.36252790627061,5.01751674376236,3.34501116250824,8.61618904546133,5.1697134272768,3.44647561818453,23.7702037324247,33.9574339034639
191,21.56,8.3542339308352,5.01254035850111,3.34169357233408,8.9674152175247,5.38044913051482,3.58696608700988,24.2503088077039,34.6432982967198
192,21.61,8.34760396326755,5.00856237796052,3.33904158530702,9.31829304261978,5.59097582557186,3.72731721704791,24.7322558082423,35.3317940117746
193,21.69,8.34259283585515,5.00555570151308,3.33703713434206,9.66889240907702,5.80133544544621,3.86755696363081,25.216079342905,36.0229704898643
194,21.75,8.33904785685876,5.00342871411525,3.3356191427435,10.0192813081829,6.01156878490975,4.00771252327317,25.7016608310584,36.7166583300834
195,21.81,8.3364817414331,5.00188904485985,3.33459269657324,10.369521318171,6.2217127909026,4.1478085272684,26.1884042834457,37.4120061192082
196,21.83,8.33517126633976,5.00110275980385,3.3340685065359,10.7196535513112,6.43179213078671,4.28786142052448,26.6767547447113,38.1096496353019
197,21.89,8.33452957635205,5.00071774581123,3.33381183054082,11.0697307444975,6.64183844669847,4.42789229779898,27.1659644491893,38.808520641699
198,21.94,8.33477328621585,5.00086397172951,3.33390931448634,11.4197809867042,6.85186859202254,4.5679123946817,27.6563759820881,39.5091085458402
199,21.94,8.33564581152468,5.0013874869148,3.33425832460987,11.7698414647253,7.06190487883518,4.70793658589012,28.14768218675,40.2109745525
200,22,8.33687111530632,5.00212266918379,3.33474844612253,12.1199385888093,7.2719631532856,4.84797543552374,28.6395335857619,40.9136194082313
201,22,8.33885702010259,5.00331421206155,3.33554280804104,12.4700871756522,7.48205230539132,4.98803487026088,29.1325218740567,41.6178883915096
202,22,8.34120493257687,5.00472295954612,3.33648197303075,12.8203191704965,7.69219150229791,5.12812766819861,29.6261337443027,42.3230482061468
203,22.03,8.34376890716395,5.00626134429836,3.33750756286558,13.1706497776647,7.90238986659884,5.2682599110659,30.1201861587602,43.0288373696574
204,22.03,8.34659182702364,5.00795509621418,3.33863673080946,13.5210880717656,8.11265284305938,5.40843522870625,30.614751858305,43.7353597975785
205,22.03,8.3496267214979,5.00977603289874,3.33985068859916,13.8716449285006,8.32298695710037,5.54865797140025,31.1097803099979,44.442543299997
206,22.03,8.35283477159183,5.0117008629551,3.34113390863673,14.2223292508035,8.53339755048212,5.68893170032141,31.6052296313535,45.1503280447907
207,22,8.3562588877103,5.01375533262618,3.34250355508412,14.5731483112104,8.74388898672623,5.82925932448416,32.101170078489,45.8588143978414
208,22,8.35978106341027,5.01586863804616,3.34391242536411,14.9241111844942,8.95446671069653,5.96964447379769,32.5974491470663,46.567784495809
209,21.97,8.36345227807842,5.01807136684705,3.34538091123137,15.2752219891575,9.16513319349447,6.11008879566298,33.0941439741302,47.2773485344717
210,21.97,8.36716364611491,5.02029818766894,3.34686545844596,15.6264869848368,9.37589219090204,6.2505947939347,33.5911108833323,47.9873012619033
211,21.92,8.37102414952181,5.02261448971308,3.34840965980872,15.9779078579736,9.58674471478414,6.39116314318943,34.0885048104935,48.6978640149908
212,21.92,8.36515122957281,5.01909073774368,3.34606049182912,16.3294908722535,9.79769452335209,6.5317963489014,34.5724989425568,49.3892842036526
213,21.86,8.36026940685899,5.01616164411539,3.3441077627436,16.6808272238956,10.0084963343373,6.67233088955822,35.0575352830564,50.0821932615091
214,21.86,8.35638189871993,5.01382913923195,3.34255275948797,17.0319585389836,10.2191751233902,6.81278341559345,35.543676612785,50.7766808754071
215,21.81,8.35348130010275,5.01208878006164,3.3413925200411,17.3829265787299,10.4297559472379,6.95317063149195,36.0309710303657,51.4728157576652
216,21.75,8.3511719440311,5.01070316641866,3.34046877761244,17.7337727933342,10.6402636760005,7.09350911733367,36.5189226323114,52.1698894747306
217,21.72,8.34958701768356,5.00975221061013,3.33983480707342,18.0845220149835,10.8507132089901,7.23380880599339,37.0077526457339,52.8682180653341
218,21.67,8.3486752134146,5.00920512804876,3.33947008536584,18.4352046697262,11.0611228018357,7.37408186789048,37.4974318363971,53.5677597662816
219,21.61,8.34808129261954,5.00884877557172,3.33923251704782,18.7858490286896,11.2715094172138,7.51433961147584,37.9875024498328,54.2678606426183
220,21.58,8.34797637106829,5.00878582264097,3.33919054842731,19.1364684429796,11.4818810657878,7.65458737719185,38.4782227396671,54.9688896280958
221,21.53,8.3480479092588,5.00882874555528,3.33921916370352,19.4870834505645,11.6922500703387,7.7948333802258,38.9691839037526,55.6702627196466
222,21.47,8.34857408507431,5.00914445104458,3.33942963402972,19.8377014627534,11.902620877652,7.93508058510135,39.4607857669587,56.3725510956553
223,21.42,8.34917964881669,5.00950778929001,3.33967185952667,20.1883415743265,12.1130049445959,8.07533662973059,39.9525297124004,57.0750424462863
224,21.36,8.35015679581688,5.01009407749013,3.34006271832675,20.5390071195768,12.3234042717461,8.21560284783071,40.4448294815511,57.7783278307873
225,21.31,8.35113948423902,5.01068369054341,3.34045579369561,20.8897137050011,12.5338282230007,8.35588548200044,40.9371944649362,58.4817063784802
226,21.25,8.35213715331209,5.01128229198725,3.34085486132483,21.2404615633391,12.7442769380035,8.49618462533565,41.4296382033117,59.1851974333024
227,21.17,8.35346789433677,5.01208073660206,3.34138715773471,21.5912513237782,12.9547507942669,8.6365005295113,41.922606905361,59.88943843623
228,21.11,8.35475428761528,5.01285257256916,3.34190171504611,21.9420969753404,13.1652581852042,8.77683879013616,42.4155917681379,60.5937025259113
229,21.06,8.35597193553534,5.0135831613212,3.34238877421414,22.2929966554202,13.3757979932521,8.91719866216809,42.9085560273378,61.2979371819111
230,20.97,8.35748499064125,5.01449099438475,3.3429939962565,22.6439474767127,13.5863684860276,9.05757899068509,43.4020054542955,62.0028649347079
231,20.92,8.35888536508121,5.01533121904873,3.34355414603248,22.9949618463197,13.7969771077918,9.19798473852786,43.8953860959612,62.7076944228017
232,20.83,8.360246887519,5.0161481325114,3.3440987550076,23.3460350316531,14.0076210189918,9.33841401266122,44.3887946868409,63.4125638383441
233,20.75,8.36183994584808,5.01710396750885,3.34473597833923,23.6971654009289,14.2182992405573,9.47886616037154,44.8826074854877,64.1180106935539
234,20.69,8.36330386251952,5.01798231751171,3.34532154500781,24.0483626786545,14.4290176071927,9.61934507146179,45.3763331576436,64.823333082348
235,20.58,8.36472683483806,5.01883610090283,3.34589073393522,24.3996214408803,14.6397728645282,9.75984857635212,45.8700875860057,65.5286965514367
236,20.5,8.36605191923044,5.01963115153826,3.34642076769218,24.7509399679435,14.8505639807661,9.9003759871774,46.3637886420435,66.2339837743479
237,20.44,8.3672506508969,5.02035039053814,3.34690026035876,25.1023141485512,15.0613884891307,10.0409256594205,46.8573907192273,66.9391295988961
